issue,issue_link,topic,confidence_score
"Integrate Playwright to enhance testing capabilities
## Feature Request

#### Overview
The integration would provide Go developers with a straightforward way to conduct end-to-end testing within the context of Go.

#### Use Case

As a developer working on web applications, I often find the need for robust end-to-end testing solutions to ensure the reliability of the application. Integrating Playwright directly into Go would streamline the testing process, offering a convenient and efficient way to conduct these tests.

#### Proposed Feature

The proposed feature involves creating a set of functionalities that allow developers to easily set up and execute Playwright tests within Go. This could include:
- [x] #1046
- [x] #1047
- [x] #1048
- [ ] #1049
- [x] #1050
- [x] #1051

#### Acceptance Criteria
- Playwright is successfully integrated into the project.
- An example test case is running successfully across all supported browsers.
- Documentation is available and clear for developers to add and run tests.
- CI pipeline runs Playwright tests as part of the build process.

#### Expected Benefits

The integration of Playwright into Go would offer the following benefits:
1. Developers can easily set up and execute end-to-end tests without the need for complex configurations.
2. Playwright's multi-browser support ensures that Go can be tested across various browsers.
3. Comprehensive end-to-end testing contributes to improved code quality and reliability of Go.",https://api.github.com/repos/IFRCGo/go-web-app/issues/345,12,"[2.05845933e-308 3.80229396e-308 4.26265483e-308 2.45310865e-308
 3.41895612e-308 1.99829637e-307 1.17650565e-307 4.60314084e-308
 4.67765846e-308 4.08926526e-308 6.38134132e-308 7.38517756e-308
 1.00000000e+000 3.28169208e-308 3.53862432e-308 9.09422301e-308
 4.06431089e-308 5.64087102e-308 3.95308519e-308 2.64360637e-308
 3.92156133e-308 3.65311529e-308 1.33525621e-307 5.54492324e-308
 1.36571686e-307 4.22155735e-308]"
"Split home after login from Global - General
- User should be redirected to ""Account Information"" page if they arrived to login page from the ""Home"" page
- User should be redirected back to the original page where they arrived from to the login page
- Account information page should have the ""Operations following section""
",https://api.github.com/repos/IFRCGo/go-web-app/issues/351,0,"[1.00000000e+000 1.77384077e-308 1.59209833e-308 1.83231581e-308
 2.91244349e-308 2.02471396e-308 1.83515709e-308 2.66884940e-308
 2.04123496e-308 2.48053185e-308 2.05386325e-308 2.43025819e-308
 1.99207845e-308 2.00490215e-308 2.45616742e-308 2.42296989e-308
 2.46305670e-308 2.14673175e-308 2.79753862e-308 1.88236563e-308
 2.22798818e-308 2.48751111e-308 1.93089219e-308 2.28007001e-308
 1.90075821e-308 2.19219811e-308]"
"[PROD] Ensure Appeals always have a country associated
Yesterday, we had an error on production after an Appeal was ingested without having a Country attached. We need to make sure this cannot happen again.

If it is legitimate / possible that Appeals can be without a Country, then we should make sure the frontend does not fail if an Appeal is missing a Country.

However, I think in all likelihood, we just want to ensure on the backend that this cannot happen that an Appeal is created without a Country.

We should probably:

 - Remove the `null=True` for country on the Appeal model, so that the database does not allow null values: https://github.com/IFRCGo/go-api/blob/develop/api/models.py#L895 - this will require checking all existing appeals in the database and writing a migration if needed.
 - During the Appeal ingestion script, if the incoming data does not have a country attached to the appeal or the country lookup fails, output an error log, but do not attempt to insert that record into the database. For that I guess here instead of returning a `None` country, we should raise an exception: https://github.com/IFRCGo/go-api/blob/develop/api/management/commands/ingest_appeals.py#L191 and I guess catch the exception here and just skip inserting this record in case of failing country lookup: https://github.com/IFRCGo/go-api/blob/develop/api/management/commands/ingest_appeals.py#L206 ?

We should discuss this - if we think that we want to continue allowing Null values for country on the backend in case the country look-up fails, then we would need to rather make changes on the client to deal with null values for country.

For this particular Appeal where we had the country come in as null, we should investigate why that happened: was this information missing in the upstreeam data, or did we fail to match the country code correctly, or .. ?

cc @frozenhelium @thenav56 @szabozoltan69 @tovari ",https://api.github.com/repos/IFRCGo/go-web-app/issues/354,5,"[0.00581706 0.01119885 0.01216706 0.00684096 0.00913284 0.1805283
 0.04646631 0.01362962 0.01451863 0.01232421 0.02048422 0.02298199
 0.0747391  0.00929013 0.00932543 0.02243152 0.01070621 0.01627713
 0.01055774 0.00737727 0.01072234 0.01085907 0.07138765 0.01712678
 0.06858364 0.01267244]"
"Surge Gantt chart: Minor issues
Noting down some issues with the Surge Gantt chart, for example on this page: https://go.ifrc.org/emergencies/6700/surge

 - The line representing ""today"" is missing a label -- space is a bit crunched, but it would be nice to have a label indicating what that line is - I think we used to show the current date above that line.
 - Problems with pagination: So, on the old site, we did not do pagination on this Surge table in order to have the Gantt chart in one place. The idea with the Gantt chart is that you want to see all the deployments from the first to the last of an operation in one place - i.e. the start date should represent the start date of the first deployment to the operation and the end date the last date of the last operation. Currently, with the pagination, it shows the start and end dates for ""deployments on this page"" rather than overall start and end dates.
 
 My recommendation for this would be to just not paginate on the Surge Deployments table on the Emergencies page. From conversations, it would be rare to have a very large number of deployments for an emergency, and I don't see how we could make the Gantt chart realistically work while maintaining pagination.

Let me know if that makes sense. @anamariaescobar @frozenhelium ",https://api.github.com/repos/IFRCGo/go-web-app/issues/382,-1,"[0.00638987 0.01514879 0.01662779 0.0084653  0.01070703 0.08933474
 0.07674964 0.01623796 0.0195628  0.01531891 0.02870745 0.02628641
 0.05516468 0.0117704  0.01102424 0.02370873 0.01265341 0.02045235
 0.01240732 0.00915389 0.01300394 0.01349361 0.14673347 0.02187608
 0.26750507 0.01647467]"
"Overall dropdown style - Main nav
Double check the designs of other nav items with the latest in [Figma](https://www.figma.com/file/u0XifdJwTEx165x3e0eoP9/IFRC-GO_UI-Prototype?type=design&node-id=15165-194103&mode=design&t=xlj8Qk4KtKHrILQk-4). Note the gray area and removal of button style, replacing with red to highlight the forms. Arrow to show the selected one and hovers are missing. Lastly, check the spacings with the design and placement of the title (e.g. Surge Deployment should be on the left and not right and IFRC gray 50% in color). In some cases the title is not there at all.

Also double check the gray text size styling from [Figma](https://www.figma.com/file/u0XifdJwTEx165x3e0eoP9/IFRC-GO_UI-Prototype?type=design&node-id=13538-211837&mode=design&t=xlj8Qk4KtKHrILQk-4) (Light font, black).",https://api.github.com/repos/IFRCGo/go-web-app/issues/385,11,"[0.00971993 0.0209583  0.01646204 0.01358934 0.02105987 0.03545946
 0.02323105 0.0684238  0.03864943 0.05194122 0.04983536 0.15549069
 0.02813428 0.02063627 0.01957753 0.04354906 0.02421121 0.04909592
 0.02704322 0.015058   0.02616188 0.03838137 0.03361744 0.07581253
 0.02792296 0.03821246]"
"Filters: interactions - Components
Filters going up when scrolling is a strange interaction. Can we have it just push down the page a bit. So, if I click on a filter bar is just slide up a bit to give space to the dropdown.
",https://api.github.com/repos/IFRCGo/go-web-app/issues/386,0,"[0.68780838 0.00738043 0.00662431 0.00745705 0.01196484 0.00859955
 0.00776673 0.01138693 0.0086049  0.01055024 0.00871473 0.01039191
 0.00842449 0.00831265 0.01010276 0.01027051 0.01020696 0.00903604
 0.01168602 0.0077026  0.00928004 0.01051359 0.00817607 0.00971542
 0.00806044 0.00923793]"
"Overall page margins - General
The page margins are much tighter than they should be in the designs (margins are 80px for 1440 screen).",https://api.github.com/repos/IFRCGo/go-web-app/issues/387,0,"[1.00000000e+000 1.83499876e-308 1.64805722e-308 1.85452938e-308
 2.96299785e-308 2.13197927e-308 1.93046516e-308 2.81114923e-308
 2.13569239e-308 2.61275505e-308 2.16145701e-308 2.56998090e-308
 2.08886719e-308 2.06524097e-308 2.50588775e-308 2.54068053e-308
 2.53008889e-308 2.23996849e-308 2.89031027e-308 1.91500758e-308
 2.30115473e-308 2.60386417e-308 2.02910731e-308 2.40781059e-308
 2.00190764e-308 2.29133390e-308]"
"Forms - full page - General
",https://api.github.com/repos/IFRCGo/go-web-app/issues/388,0,"[0.4730964  0.01718099 0.01549617 0.01755653 0.02722388 0.01969373
 0.01797199 0.02546793 0.01976262 0.02384394 0.01995624 0.02339713
 0.01935013 0.0192919  0.02328027 0.0232278  0.0233928  0.02065372
 0.02638265 0.01805647 0.02131473 0.02382923 0.01880347 0.02205137
 0.01857932 0.02113857]"
"Highlighted emergency cards interaction - Homepage
Can we have the entire card on hover and clickable and not just the title? Also, no need to separate between targeted population link and main link. Entire card should go to the emergency (hover on title not needed, but on the card).
",https://api.github.com/repos/IFRCGo/go-web-app/issues/389,11,"[0.00689068 0.01912209 0.01506443 0.01042003 0.01394177 0.03342697
 0.02134811 0.03578439 0.03917385 0.03487315 0.07424685 0.08387304
 0.02357285 0.01623803 0.01358795 0.02858114 0.01649596 0.03878489
 0.01727893 0.01156243 0.0188399  0.02634327 0.03498048 0.07224898
 0.02712143 0.03180133]"
"Nav main item stylings - Main nav
In the main menu, the selected section should be in black and there should be a red underline beneath it, with a height of 2px, per design in [Figma](https://www.figma.com/proto/u0XifdJwTEx165x3e0eoP9/IFRC-GO_UI-Prototype?page-id=8129%3A139296&type=design&node-id=11799-199409&viewport=701%2C-525%2C0.32&t=KCzNlJAFuYpLVoHV-1&scaling=scale-down-width&starting-point-node-id=8140%3A139297&show-proto-sidebar=1&mode=design). 

When a section is chosen and expanded in the main menu, the selected section is not visible, and the selection remains on the ""Home"" section.",https://api.github.com/repos/IFRCGo/go-web-app/issues/390,11,"[2.54470079e-308 5.71080709e-308 4.75177976e-308 3.54871441e-308
 5.38291270e-308 1.30784618e-307 7.63899410e-308 1.35696621e-307
 1.02720663e-307 1.10332863e-307 1.53464465e-307 1.00000000e+000
 9.59019810e-308 5.25185146e-308 5.16904421e-308 1.38774490e-307
 6.33366459e-308 1.30474525e-307 6.75899138e-308 3.91302638e-308
 6.61087811e-308 8.62247312e-308 1.19083754e-307 1.87953385e-307
 9.53735031e-308 9.30097810e-308]"
"Integrate Storybook for Component Development and Capturing UI Feedbacks
### Feature Request

To streamline and improve the development process of UI components within GO, we propose the integration of Storybook. Storybook is a powerful tool that allows developers to build and visualize UI components in isolation, facilitating efficient development, testing, and collaboration. This will also help us capture most of the visual feedback from the designers and separate UI issues in the web app or the components library.

### Why Storybook?
1. Isolation and Development Efficiency
    Issue: Working on UI components within the context of the entire application can be time-consuming and cumbersome.
    Solution: Storybook allows developers to isolate and work on individual UI components independently, leading to faster development cycles and more focused debugging.

2. Visual Prototyping and Iteration
Issue: Prototyping and iterating on UI designs can be challenging when closely tied to the application flow.
Solution: Storybook provides a visual playground for rapid prototyping, enabling developers and designers to iterate on UI components efficiently and visualize different states and variations.

3. Documentation and Component Showcase
Issue: Documentation of UI components is often scattered or embedded within the codebase, making it challenging for team members to understand and utilize them.
Solution: Storybook acts as a centralized platform for documenting and showcasing UI components, making it easier for team members to discover, understand, and use components consistently.

4. Collaboration and Communication
Issue: Communicating and collaborating on UI components can be challenging without a visual representation.
Solution: Storybook fosters collaboration by providing an interactive environment where team members can visually assess, discuss, and align on UI component behavior and design.

5. Testing and Debugging:
Issue: Identifying and fixing issues within UI components can be time-consuming when testing in the context of the entire application.
Solution: Storybook simplifies testing and debugging by allowing developers to focus on individual components in isolation, streamlining the troubleshooting process.

### Proposal
This feature will include the setup and configuration of Storybook within GO, the migration of existing components, and writing stories for each component.

### Expected Benefits
1. Develop and test UI components more efficiently by leveraging the isolation provided by Storybook.
2. Enhance team collaboration through visual representation and discussion of UI components in Storybook.]
3. Use Storybook as a central repository for documenting and showcasing UI components, ensuring consistent and up-to-date information.
4. Improve prototyping and iteration of UI components by utilizing Storybook's visual environment.

### Implementation Plan

- [x] #661
- [x] #660
- [x] #583
- [x] #659",https://api.github.com/repos/IFRCGo/go-web-app/issues/406,12,"[0.00683674 0.01299547 0.01438271 0.00826224 0.01162816 0.07103176
 0.03728865 0.01608472 0.01631279 0.01422421 0.0227733  0.02701578
 0.30833726 0.01122413 0.01202125 0.03377781 0.0139699  0.02014307
 0.01360056 0.0089365  0.0135654  0.01261366 0.04739217 0.01971368
 0.04437994 0.0146875 ]"
"In the Plan activities section, transfer the total budget from the Overview (first page). – I don’t see it on the planned interventions part
",https://api.github.com/repos/IFRCGo/go-web-app/issues/413,0,"[0.36528967 0.02077534 0.01868957 0.02104697 0.03248348 0.02365861
 0.02167118 0.03068653 0.02395957 0.02899447 0.02414302 0.02820285
 0.02315519 0.02332721 0.02778545 0.0278136  0.02799051 0.0249097
 0.0316369  0.02170306 0.02566532 0.02894143 0.02265469 0.02675553
 0.02240915 0.02565099]"
"Update translation system to make the string changes easier
- GO codebase is composed of react components
    - React components can be either a **View** or reusable **Component**
- Each react component should record list of string in an **i18n** file within the component.
    - A `namespace` should also be defined along with the strings
    - A namespace should always match the name of **View**
    - A namespace should generally match the name of **Component**, in some special case we can use **common** namespace
- Developer should be able to add, modify and remove strings
- Developer should be able to rename namespace (move all strings from one namespace to another)
- Developer should be able to create a new namespace and move some strings from existing namespace (move some strings from one namespace to another)
- Server should be able to store list of strings for a version of client (called **String snapshot**)
- Developer should be able to generate a text file with list of commands that will capture changes needed to be applied to the snapshot (called **Command file**)
- Developer should be able to review and manually change the **Command file**
- Deployment CI should be able to fetch the **String snapshot** for a specific version from the server
- Deployment CI should be able to read the **Command file**
- Deployment CI should be able to apply the list of commands from the **Command file** to create a new **String snapshot**
- Deployment CI should be able to send newly create **String snapshot** to the server
",https://api.github.com/repos/IFRCGo/go-web-app/issues/439,-1,"[0.00302576 0.00391914 0.0031225  0.00400939 0.02812404 0.00433796
 0.00353336 0.00744944 0.00458305 0.00598537 0.0047133  0.00617424
 0.00441703 0.00488982 0.01399767 0.00847648 0.01614532 0.00623103
 0.0404448  0.00431933 0.00763498 0.00598412 0.00416491 0.00532039
 0.00380302 0.00513192]"
"translation banner appears at old emergencies as well, which are not even translated. Banner should appear only in case the content is really translated
",https://api.github.com/repos/IFRCGo/go-web-app/issues/531,23,"[2.40988177e-308 7.06001658e-308 5.11489175e-308 3.90488281e-308
 5.15040959e-308 9.51710883e-308 6.51816395e-308 1.70582499e-307
 1.96070933e-307 1.93413856e-307 1.87606537e-307 2.26273514e-307
 7.10808147e-308 6.17124949e-308 4.82792586e-308 9.00358191e-308
 5.83244198e-308 1.89191754e-307 6.31909076e-308 4.33820051e-308
 6.89630631e-308 1.31264433e-307 9.90715600e-308 1.00000000e+000
 7.94126477e-308 1.60431350e-307]"
"This hasn't been translated to any of the languages (https://go.ifrc.org/emergencies/6508#surge)
",https://api.github.com/repos/IFRCGo/go-web-app/issues/529,9,"[2.61212774e-308 6.00955595e-308 4.02085195e-308 3.94370505e-308
 5.03797004e-308 5.50053070e-308 4.15000225e-308 2.47118126e-307
 1.41966544e-307 1.00000000e+000 1.02616086e-307 1.13141539e-307
 4.60714284e-308 6.55323615e-308 4.44856142e-308 6.36337021e-308
 5.35966332e-308 1.17268939e-307 6.24428855e-308 4.42358084e-308
 6.99020921e-308 3.63300238e-307 5.59563630e-308 1.62920272e-307
 4.77896868e-308 2.32194586e-307]"
